Country,Count
Argentina,25
Armenia,1
Australia,38
Austria,8
Azerbaijan,3
Bahrain,3
Bangladesh,15
Belarus,3
Belgium,9
Bolivia,3
Bosnia and Herzegovina,1
Brazil,35
Brunei,2
Bulgaria,1
Canada,31
Chile,25
China,71
Colombia,25
Costa Rica,3
Croatia,4
Cuba,4
Cyprus,1
Czech Republic,16
Denmark,5
Dominican Republic,2
Ecuador,11
Egypt,15
Estonia,3
Ethiopia,1
Finland,9
France,35
Georgia,2
Germany,49
Ghana,2
Greece,8
Guatemala,1
Honduras,1
Hong Kong,7
Hungary,11
Iceland,1
India,45
Indonesia,26
Iran,7
Iraq,5
Ireland,8
Israel,6
Italy,42
Japan,50
Jordan,9
Kazakhstan,21
Kenya,2
Kuwait,3
Kyrgyzstan,1
Latvia,3
Lebanon,8
Lithuania,5
Luxembourg,1
Macau SAR,2
Malaysia,28
Malta,1
Mexico,32
Morocco,1
Netherlands,13
New Zealand,8
Nigeria,2
Norway,6
Oman,1
Pakistan,14
Palestine,3
Panama,2
Paraguay,1
Peru,10
Philippines,5
Poland,22
Portugal,8
Puerto Rico,1
Qatar,2
Romania,13
Russia,48
Saudi Arabia,16
Serbia,4
Singapore,4
Slovakia,5
Slovenia,3
South Africa,11
South Korea,43
Spain,35
Sri Lanka,2
Sudan,2
Sweden,8
Switzerland,11
Syria,1
Taiwan,27
Thailand,13
Tunisia,4
Turkey,25
Uganda,1
Ukraine,11
United Arab Emirates,11
United Kingdom,90
United States of America,199
Uruguay,4
Venezuela,7
Vietnam,5
